|------|------------------|-------------|------------------|---------|
| size | avg runtime (ms) | improvement | iteration per us | passed? |
|------|------------------|-------------|------------------|---------|
|  128 |               37 |        0.24 |               55 |     yes |
|  256 |               31 |        1.33 |              537 |     yes |
|  512 |               31 |        5.51 |             4283 |     yes |
| 1024 |              131 |       31.17 |             8156 |     yes |
| 2048 |             1267 |       34.67 |             6779 |     yes |
|------|------------------|-------------|------------------|---------|
|------|------------------|-------------|------------------|---------|
| size | avg runtime (ms) | improvement | iteration per us | passed? |
|------|------------------|-------------|------------------|---------|
|  128 |               22 |        0.43 |               95 |     yes |
|  256 |               18 |        2.42 |              895 |     yes |
|  512 |               76 |        2.87 |             1748 |     yes |
| 1024 |              135 |       31.82 |             7943 |     yes |
| 1235 |              244 |       37.07 |             7692 |     yes |
| 2048 |             1225 |       70.44 |             7007 |     yes |
|------|------------------|-------------|------------------|---------|
